2;09;001;00559;00280;05009;00189769;00081657;04303;08484;00096247;05072;00074170;09083;00066066;08091;00008104;00992;00002281;00279;00005206;00638;07;29;14;20;
2;09;002;00053;00034;06415;00016428;00008975;05463;08456;00010614;06461;00008139;09069;00007257;08086;00000882;00983;00000248;00276;00000588;00655;07;29;14;20;
2;09;003;00217;00122;05622;00071965;00034301;04766;08507;00040320;05603;00031117;09072;00027742;08088;00003375;00984;00000961;00280;00002223;00648;07;29;14;25;
2;09;004;00171;00114;06667;00053761;00030794;05728;08484;00036298;06752;00027926;09069;00024899;08086;00003027;00983;00000865;00281;00002003;00650;07;29;14;15;
2;09;005;00050;00039;07800;00016024;00010648;06645;08482;00012553;07834;00009661;09073;00008612;08088;00001049;00985;00000298;00280;00000689;00647;07;29;14;20;
2;09;006;00209;00098;04689;00060986;00023576;03866;08457;00027877;04571;00021341;09052;00019020;08068;00002321;00984;00000654;00277;00001581;00671;07;29;14;20;
2;09;007;00042;00024;05714;00011775;00005884;04997;08497;00006925;05881;00005320;09041;00004742;08059;00000578;00982;00000164;00279;00000400;00680;07;29;12;35;
2;09;008;00038;00027;07105;00012533;00007659;06111;08509;00009001;07182;00006949;09073;00006194;08087;00000755;00986;00000214;00279;00000496;00648;07;29;14;00;
2;09;009;00034;00005;01471;00010034;00001310;01306;08573;00001528;01523;00001193;09107;00001064;08122;00000129;00985;00000037;00282;00000080;00611;07;29;14;15;
2;09;999;01373;00743;05412;00443275;00204804;04620;08485;00241363;05445;00185816;09073;00165596;08086;00020220;00987;00005722;00279;00013266;00648;07;29;14;25;
3;09;001;00559;00280;05009;00189769;00081968;04319;08516;00096247;05072;00071155;08681;00062275;07597;00008880;01083;00003963;00483;00006850;00836;07;29;14;20;
3;09;002;00053;00034;06415;00016428;00008986;05470;08466;00010614;06461;00007784;08662;00006814;07583;00000970;01079;00000437;00486;00000765;00851;07;29;14;20;
3;09;003;00217;00122;05622;00071965;00034301;04766;08507;00040320;05603;00029723;08665;00026008;07582;00003715;01083;00001658;00483;00002920;00851;07;29;14;25;
3;09;004;00171;00114;06667;00053761;00030818;05732;08490;00036298;06752;00026710;08667;00023378;07586;00003332;01081;00001485;00482;00002623;00851;07;29;14;15;
3;09;005;00050;00039;07800;00016024;00010653;06648;08486;00012553;07834;00009237;08671;00008085;07589;00001152;01081;00000516;00484;00000900;00845;07;29;14;20;
3;09;006;00209;00098;04689;00060986;00023577;03866;08458;00027877;04571;00020393;08650;00017842;07568;00002551;01082;00001133;00481;00002051;00870;07;29;14;20;
3;09;007;00042;00024;05714;00011775;00005884;04997;08497;00006925;05881;00005085;08642;00004447;07558;00000638;01084;00000281;00478;00000518;00880;07;29;12;35;
3;09;008;00038;00027;07105;00012533;00007653;06106;08502;00009001;07182;00006636;08671;00005806;07587;00000830;01085;00000367;00480;00000650;00849;07;29;14;00;
3;09;009;00034;00005;01471;00010034;00001310;01306;08573;00001528;01523;00001141;08710;00000999;07626;00000142;01084;00000064;00489;00000105;00802;07;29;14;15;
3;09;999;01373;00743;05412;00443275;00205150;04628;08500;00241363;05445;00177864;08670;00155654;07587;00022210;01083;00009904;00483;00017382;00847;07;29;14;25;
